,region,Year,Month number,Alcohol involvement,DV involvement,Total_population,Aboriginal,Non-Aboriginal,Male,Female,Pop_age_0,Pop_age_10,Pop_age_15,Pop_age_20,Pop_age_25,Pop_age_30,Pop_age_35,Pop_age_40,Pop_age_45,Pop_age_5,Pop_age_50,Pop_age_55,Pop_age_60,Pop_age_65,Pop_age_70,Pop_age_75,Pop_age_80,Pop_age_85plus,Cask Wine PAC,Bottled Wine PAC,Fortified Wine PAC,Cider PAC,Standard Spirits PAC,Mixed Spirits PAC,Full-Strength Beer PAC,Mid-Strength Beer PAC,Low-Strength Beer PAC,Total PAC,Number of offences,assault_rate,sin_month,cos_month,pct_aboriginal,pct_male,pct_youth,pct_senior,alcohol_per_capita,full-strength_beer_pac_per_capita,mid-strength_beer_pac_per_capita,low-strength_beer_pac_per_capita,cask_wine_pac_per_capita,bottled_wine_pac_per_capita,fortified_wine_pac_per_capita,beer_per_capita,wine_per_capita,assault_rate_lag1,assault_rate_lag3
103,Greater Darwin,2024,8,6,6,155832,20336,135496,81073,74759,10096,9831,8315,10454,14285,15440,13585,11784,9891,10248,9553,8431,7368,5895,4712,3199,1662,1083,7442,61966,1446,9119,77654,38319,97072,66450,2341,361809,1123,7.206478772010883,-0.8660254037844385,-0.5000000000000004,0.13049951229529236,0.5202589968684224,0.12044381128394681,0.10621053442168489,2.321788849530263,0.6229272549925561,0.42642076081934394,0.015022588428564094,0.04775655834488424,0.39764618306894606,0.009279223779454797,1.0643706042404641,0.4546819651932851,7.142307099953797,7.674931978027619
104,Greater Darwin,2024,9,6,6,155832,20336,135496,81073,74759,10096,9831,8315,10454,14285,15440,13585,11784,9891,10248,9553,8431,7368,5895,4712,3199,1662,1083,7442,61966,1446,9119,77654,38319,97072,66450,2341,361809,1232,7.905949997433133,-1.0,-1.8369701987210297e-16,0.13049951229529236,0.5202589968684224,0.12044381128394681,0.10621053442168489,2.321788849530263,0.6229272549925561,0.42642076081934394,0.015022588428564094,0.04775655834488424,0.39764618306894606,0.009279223779454797,1.0643706042404641,0.4546819651932851,7.206478772010883,7.026798090251039
105,Greater Darwin,2024,10,6,5,155832,20336,135496,81073,74759,10096,9831,8315,10454,14285,15440,13585,11784,9891,10248,9553,8431,7368,5895,4712,3199,1662,1083,6730,48108,1427,7869,74190,34359,79527,57662,2084,311956,1287,8.258894193747112,-0.8660254037844386,0.5000000000000001,0.13049951229529236,0.5202589968684224,0.12044381128394681,0.10621053442168489,2.001873812824067,0.5103380563683967,0.37002669541557576,0.013373376456696956,0.043187535294419634,0.30871707993223474,0.009157297602546332,0.8937381282406694,0.3610619128292007,7.905949997433133,7.142307099953797
106,Greater Darwin,2024,11,6,5,155832,20336,135496,81073,74759,10096,9831,8315,10454,14285,15440,13585,11784,9891,10248,9553,8431,7368,5895,4712,3199,1662,1083,6730,48108,1427,7869,74190,34359,79527,57662,2084,311956,1238,7.9444530006673855,-0.5000000000000004,0.8660254037844384,0.13049951229529236,0.5202589968684224,0.12044381128394681,0.10621053442168489,2.001873812824067,0.5103380563683967,0.37002669541557576,0.013373376456696956,0.043187535294419634,0.30871707993223474,0.009157297602546332,0.8937381282406694,0.3610619128292007,8.258894193747112,7.206478772010883
107,Greater Darwin,2024,12,5,4,155832,20336,135496,81073,74759,10096,9831,8315,10454,14285,15440,13585,11784,9891,10248,9553,8431,7368,5895,4712,3199,1662,1083,6730,48108,1427,7869,74190,34359,79527,57662,2084,311956,1240,7.957287335078804,-2.4492935982947064e-16,1.0,0.13049951229529236,0.5202589968684224,0.12044381128394681,0.10621053442168489,2.001873812824067,0.5103380563683967,0.37002669541557576,0.013373376456696956,0.043187535294419634,0.30871707993223474,0.009157297602546332,0.8937381282406694,0.3610619128292007,7.9444530006673855,7.905949997433133
108,Greater Darwin,2025,1,5,5,158054,20577,137477,82499,75555,10116,9985,8539,10467,14274,15472,14062,12169,10075,10196,9384,8646,7421,5988,4802,3503,1738,1217,6977,40828,906,6384,51953,25363,66004,47409,1879,247704,1253,7.92767028990092,0.49999999999999994,0.8660254037844387,0.13018968200741518,0.5219671757753679,0.12025004112518506,0.1091272603034406,1.5672112062965822,0.41760410998772574,0.2999544459488529,0.011888341959077278,0.044143140951826594,0.2583167778101155,0.0057322181026737695,0.7294468978956559,0.3081921368646159,7.957287335078804,8.258894193747112
109,Greater Darwin,2025,2,6,5,158054,20577,137477,82499,75555,10116,9985,8539,10467,14274,15472,14062,12169,10075,10196,9384,8646,7421,5988,4802,3503,1738,1217,6977,40828,906,6384,51953,25363,66004,47409,1879,247704,1183,7.484783681526567,0.8660254037844386,0.5000000000000001,0.13018968200741518,0.5219671757753679,0.12025004112518506,0.1091272603034406,1.5672112062965822,0.41760410998772574,0.2999544459488529,0.011888341959077278,0.044143140951826594,0.2583167778101155,0.0057322181026737695,0.7294468978956559,0.3081921368646159,7.92767028990092,7.9444530006673855
110,Greater Darwin,2025,3,6,6,158054,20577,137477,82499,75555,10116,9985,8539,10467,14274,15472,14062,12169,10075,10196,9384,8646,7421,5988,4802,3503,1738,1217,6977,40828,906,6384,51953,25363,66004,47409,1879,247704,1233,7.801131258936819,1.0,6.123233995736766e-17,0.13018968200741518,0.5219671757753679,0.12025004112518506,0.1091272603034406,1.5672112062965822,0.41760410998772574,0.2999544459488529,0.011888341959077278,0.044143140951826594,0.2583167778101155,0.0057322181026737695,0.7294468978956559,0.3081921368646159,7.484783681526567,7.957287335078804
111,Greater Darwin,2025,4,6,6,158054,20577,137477,82499,75555,10116,9985,8539,10467,14274,15472,14062,12169,10075,10196,9384,8646,7421,5988,4802,3503,1738,1217,8706,49047,1582,7541,63141,31359,79637,57761,1935,300710,1192,7.541726245460412,0.8660254037844387,-0.4999999999999998,0.13018968200741518,0.5219671757753679,0.12025004112518506,0.1091272603034406,1.9025776000607388,0.5038594404444051,0.36545104837587156,0.01224265124577676,0.055082440178673114,0.3103179925848128,0.01000923734926038,0.8815531400660533,0.3754096701127463,7.801131258936819,7.92767028990092
112,Greater Darwin,2025,5,6,6,158054,20577,137477,82499,75555,10116,9985,8539,10467,14274,15472,14062,12169,10075,10196,9384,8646,7421,5988,4802,3503,1738,1217,8706,49047,1582,7541,63141,31359,79637,57761,1935,300710,1290,8.161767497184506,0.49999999999999994,-0.8660254037844387,0.13018968200741518,0.5219671757753679,0.12025004112518506,0.1091272603034406,1.9025776000607388,0.5038594404444051,0.36545104837587156,0.01224265124577676,0.055082440178673114,0.3103179925848128,0.01000923734926038,0.8815531400660533,0.3754096701127463,7.541726245460412,7.484783681526567
