,region,Year,Month number,Alcohol involvement,DV involvement,Total_population,Aboriginal,Non-Aboriginal,Male,Female,Pop_age_0,Pop_age_10,Pop_age_15,Pop_age_20,Pop_age_25,Pop_age_30,Pop_age_35,Pop_age_40,Pop_age_45,Pop_age_5,Pop_age_50,Pop_age_55,Pop_age_60,Pop_age_65,Pop_age_70,Pop_age_75,Pop_age_80,Pop_age_85plus,Cask Wine PAC,Bottled Wine PAC,Fortified Wine PAC,Cider PAC,Standard Spirits PAC,Mixed Spirits PAC,Full-Strength Beer PAC,Mid-Strength Beer PAC,Low-Strength Beer PAC,Total PAC,Number of offences,assault_rate,sin_month,cos_month,pct_aboriginal,pct_male,pct_youth,pct_senior,alcohol_per_capita,beer_per_capita,wine_per_capita,assault_rate_lag1,assault_rate_lag3
42,Big Rivers,2025,7,6,5,23035,13218,9817,11844,11191,1628,1795,1685,2045,2114,2198,1860,1444,1225,1715,1331,1141,969,727,522,342,181,113,248,4953,87,1376,12867,5934,14550,11840,304,52159,295,12.806598654221837,-0.4999999999999997,-0.8660254037844388,0.5738224441067941,0.5141740829172997,0.16192750162795747,0.08183199479053614,2.2643368786629043,1.1588452355111787,0.2295637074017799,13.978728022574343,17.668764922943346
43,Big Rivers,2025,8,4,4,23035,13218,9817,11844,11191,1628,1795,1685,2045,2114,2198,1860,1444,1225,1715,1331,1141,969,727,522,342,181,113,248,4953,87,1376,12867,5934,14550,11840,304,52159,303,13.1538962448448,-0.8660254037844385,-0.5000000000000004,0.5738224441067941,0.5141740829172997,0.16192750162795747,0.08183199479053614,2.2643368786629043,1.1588452355111787,0.2295637074017799,12.806598654221837,13.76166702843499
44,Big Rivers,2025,9,5,5,23035,13218,9817,11844,11191,1628,1795,1685,2045,2114,2198,1860,1444,1225,1715,1331,1141,969,727,522,342,181,113,248,4953,87,1376,12867,5934,14550,11840,304,52159,326,14.152376817885827,-1.0,-1.8369701987210297e-16,0.5738224441067941,0.5141740829172997,0.16192750162795747,0.08183199479053614,2.2643368786629043,1.1588452355111787,0.2295637074017799,13.1538962448448,13.978728022574343
45,Big Rivers,2025,10,5,5,23035,13218,9817,11844,11191,1628,1795,1685,2045,2114,2198,1860,1444,1225,1715,1331,1141,969,727,522,342,181,113,106,2816,76,1072,11825,4813,13080,9707,273,43769,319,13.848491426090732,-0.8660254037844386,0.5000000000000001,0.5738224441067941,0.5141740829172997,0.16192750162795747,0.08183199479053614,1.9001085304970697,1.0010853049706967,0.13014977208595616,14.152376817885827,12.806598654221837
46,Big Rivers,2025,11,4,4,23035,13218,9817,11844,11191,1628,1795,1685,2045,2114,2198,1860,1444,1225,1715,1331,1141,969,727,522,342,181,113,106,2816,76,1072,11825,4813,13080,9707,273,43769,275,11.938354677664424,-0.5000000000000004,0.8660254037844384,0.5738224441067941,0.5141740829172997,0.16192750162795747,0.08183199479053614,1.9001085304970697,1.0010853049706967,0.13014977208595616,13.848491426090732,13.1538962448448
47,Big Rivers,2025,12,3,3,23035,13218,9817,11844,11191,1628,1795,1685,2045,2114,2198,1860,1444,1225,1715,1331,1141,969,727,522,342,181,113,106,2816,76,1072,11825,4813,13080,9707,273,43769,302,13.11048404601693,-2.4492935982947064e-16,1.0,0.5738224441067941,0.5141740829172997,0.16192750162795747,0.08183199479053614,1.9001085304970697,1.0010853049706967,0.13014977208595616,11.938354677664424,14.152376817885827
48,Central Australia,2024,1,5,5,41404,17255,24149,20472,20932,2858,2788,2491,2720,3845,4262,3641,3020,2504,2808,2475,2322,2047,1473,913,569,411,257,10,6641,45,1757,14921,6989,18295,10165,247,59069,984,23.765819727562555,0.49999999999999994,0.8660254037844387,0.416747174186069,0.49444498116124047,0.12585740508163462,0.08750362283837311,1.4266495990725534,0.6933388078446527,0.1617235049753647,,
49,Central Australia,2024,2,6,5,41404,17255,24149,20472,20932,2858,2788,2491,2720,3845,4262,3641,3020,2504,2808,2475,2322,2047,1473,913,569,411,257,10,6641,45,1757,14921,6989,18295,10165,247,59069,616,14.87778958554729,0.8660254037844386,0.5000000000000001,0.416747174186069,0.49444498116124047,0.12585740508163462,0.08750362283837311,1.4266495990725534,0.6933388078446527,0.1617235049753647,23.765819727562555,
50,Central Australia,2024,3,5,4,41404,17255,24149,20472,20932,2858,2788,2491,2720,3845,4262,3641,3020,2504,2808,2475,2322,2047,1473,913,569,411,257,10,6641,45,1757,14921,6989,18295,10165,247,59069,684,16.520142981354457,1.0,6.123233995736766e-17,0.416747174186069,0.49444498116124047,0.12585740508163462,0.08750362283837311,1.4266495990725534,0.6933388078446527,0.1617235049753647,14.87778958554729,
51,Central Australia,2024,4,5,4,41404,17255,24149,20472,20932,2858,2788,2491,2720,3845,4262,3641,3020,2504,2808,2475,2322,2047,1473,913,569,411,257,18,10117,113,2100,18685,8384,21246,11451,225,72339,661,15.964641097478506,0.8660254037844387,-0.4999999999999998,0.416747174186069,0.49444498116124047,0.12585740508163462,0.08750362283837311,1.7471500338131583,0.7951405661288764,0.24751231765046855,16.520142981354457,23.765819727562555
